system:index,tropospheric_HCHO_column_number_density,.geo
199,2.0720331908509275E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47969325530873,11.453519872523898]}"
200,2.067611432679996E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.56952478372068,11.453519872523898]}"
201,2.133698599532059E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.74918784054458,11.453519872523898]}"
202,1.793142977501068E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.55767159625215,11.453519872523898]}"
203,1.8308572265645135E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.6475031246641,11.453519872523898]}"
204,1.0450771605011595E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.66122155692864,11.453519872523898]}"
205,2.4025363574188538E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77289421548164,11.543351400935851]}"
206,1.7499194094320065E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.04238880071749,11.543351400935851]}"
207,1.6534282397094843E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.13222032912944,11.543351400935851]}"
208,1.5839467774815752E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.4017149143653,11.543351400935851]}"
209,1.6163517036494622E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.67120949960116,11.543351400935851]}"
210,1.4409902935446744E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94070408483701,11.543351400935851]}"
211,1.6763788841595603E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03053561324897,11.543351400935851]}"
212,1.9947733917295493E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12036714166092,11.543351400935851]}"
213,1.954717951732227E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21019867007287,11.543351400935851]}"
214,1.9803126546192996E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.30003019848482,11.543351400935851]}"
215,2.21848475908626E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.01868242578044,11.543351400935851]}"
216,2.130423633531629E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.10851395419239,11.543351400935851]}"
217,1.7701196722746086E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.82716618148801,11.543351400935851]}"
218,1.7796062933085968E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.91699770989996,11.543351400935851]}"
219,1.8174049224433704E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.09666076672387,11.543351400935851]}"
220,2.2232607837642128E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77289421548164,11.633182929347804]}"
221,1.7353026570721627E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.86272574389359,11.633182929347804]}"
222,1.580195830055637E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.2220518575414,11.633182929347804]}"
223,1.5859667783388873E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.4017149143653,11.633182929347804]}"
224,1.5964495667921953E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.5813779711892,11.633182929347804]}"
225,1.3784984761593347E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.85087255642506,11.633182929347804]}"
226,1.608957325710182E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21019867007287,11.633182929347804]}"
